Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Cholangiocarcinoma,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Carcinoma of esophagus,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Vernal keratoconjunctivitis,{'Deletion': '4.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '96.0%'}
Radiation proctitis,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '83.0%'}
Warty dyskeratoma,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Bilateral acute depigmentation of the iris,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Bosley-Salih-Alorainy syndrome,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Athabaskan brainstem dysgenesis syndrome,{'Deletion': '0.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Low phospholipid-associated cholelithiasis,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '7.000000000000001%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '79.0%'}
Intrahepatic cholestasis of pregnancy,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Tyrosinemia type 3,{'Deletion': '7.000000000000001%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '90.0%'}
Pyogenic arthritis-pyoderma gangrenosum-acne syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Naegeli-Franceschetti-Jadassohn syndrome,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Anonychia with flexural pigmentation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Ectodermal dysplasia with natal teeth, Turnpenny type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Odonto-tricho-ungual-digito-palmar syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Limb-mammary syndrome,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Pure hair and nail ectodermal dysplasia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Rhabdoid tumor,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Familial renal glucosuria,{'Deletion': '4.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Liposarcoma,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '89.0%'}
Idiopathic steroid-sensitive nephrotic syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
3-methylglutaconic aciduria type 4,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Dysostosis with brachydactyly,{'Deletion': '19.0%', 'Duplication': '10.0%', 'Indel': '0.0%', 'Insertion': '12.0%', 'Single nucleotide': '57.99999999999999%'}
3-methylglutaconic aciduria type 1,{'Deletion': '9.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
3-methylglutaconic aciduria type 3,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Thrombocytopenia with congenital dyserythropoietic anemia,{'Deletion': '5.0%', 'Duplication': '6.0%', 'Indel': '2.0%', 'Insertion': '9.0%', 'Single nucleotide': '77.0%'}
X-linked intellectual disability with isolated growth hormone deficiency,{'Deletion': '0.0%', 'Duplication': '50.0%', 'Indel': '0.0%', 'Insertion': '50.0%', 'Single nucleotide': '0.0%'}
Late-onset retinal degeneration,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Amoebic keratitis,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Segmental odontomaxillary dysplasia,{'Deletion': '13.0%', 'Duplication': '3.0%', 'Indel': '3.0%', 'Insertion': '9.0%', 'Single nucleotide': '71.0%'}
Hyaluronidase deficiency,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
B-cell chronic lymphocytic leukemia,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Autosomal dominant optic atrophy and cataract,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Cutaneous mastocytosis,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Diaphanospondylodysostosis,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Dilated cardiomyopathy with ataxia,{'Deletion': '6.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Sensorineural hearing loss-early graying-essential tremor syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
CEDNIK syndrome,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Congenital pseudoarthrosis of the clavicle,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Goldberg-Shprintzen megacolon syndrome,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Obesity due to congenital leptin deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pigmented villonodular synovitis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Tako-Tsubo cardiomyopathy,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Short fifth metacarpals-insulin resistance syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Goodman syndrome,{'Deletion': '0.0%', 'Duplication': '18.0%', 'Indel': '0.0%', 'Insertion': '18.0%', 'Single nucleotide': '64.0%'}
Timothy syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Carvajal syndrome,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Primary biliary cholangitis/primary sclerosing cholangitis and autoimmune hepatitis overlap syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lhermitte-Duclos disease,{'Deletion': '28.000000000000004%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '61.0%'}
Beta-ureidopropionase deficiency,{'Deletion': '0.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
3q29 microdeletion syndrome,{'Deletion': '100.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Vaginal atresia,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Isolated focal cortical dysplasia,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '88.0%'}
Benign recurrent intrahepatic cholestasis,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Arthrogryposis-severe scoliosis syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '92.0%'}
Multiple self-healing squamous epithelioma,{'Deletion': '13.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '13.0%', 'Single nucleotide': '67.0%'}
Autosomal dominant multiple pterygium syndrome,{'Deletion': '14.000000000000002%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '75.0%'}
Carpenter syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Charcot-Marie-Tooth disease type 1,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
IgG4-related thyroid disease,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pruritic urticarial papules and plaques of pregnancy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal dominant Charcot-Marie-Tooth disease type 2,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
X-linked Charcot-Marie-Tooth disease,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Dejerine-Sottas syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Charcot-Marie-Tooth disease type 4,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Heme oxygenase-1 deficiency,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Hereditary sensory and autonomic neuropathy type 5,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Spinocerebellar ataxia with axonal neuropathy type 2,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Congenital limbs-face contractures-hypotonia-developmental delay syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Becker nevus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Anterior maxillary protrusion-strabismus-intellectual disability syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Perineural cyst,{'Deletion': '14.000000000000002%', 'Duplication': '9.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '73.0%'}
TMEM94-associated congenital heart defect-facial dysmorphism-developmental delay syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acrofacial dysostosis, Kennedy-Teebi type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Childhood absence epilepsy,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Ovarian hyperstimulation syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Iridocorneal endothelial syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pleuropulmonary blastoma,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Pulmonary blastoma,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Iniencephaly,{'Deletion': '25.0%', 'Duplication': '12.0%', 'Indel': '4.0%', 'Insertion': '4.0%', 'Single nucleotide': '54.0%'}
Isolated oxycephaly,{'Deletion': '38.0%', 'Duplication': '25.0%', 'Indel': '0.0%', 'Insertion': '25.0%', 'Single nucleotide': '12.0%'}
Angel-shaped phalango-epiphyseal dysplasia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Distal myopathy with posterior leg and anterior hand involvement,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pemphigoid gestationis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Pattern dystrophy,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Paraneoplastic pemphigus,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Rare epithelial tumor of stomach,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Acrocapitofemoral dysplasia,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '9.0%', 'Insertion': '9.0%', 'Single nucleotide': '73.0%'}
Schisis association,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Megalencephaly-capillary malformation-polymicrogyria syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Pudendal neuralgia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Congenital heart block,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Idiopathic bronchiectasis,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '93.0%'}
Neonatal ichthyosis-sclerosing cholangitis syndrome,{'Deletion': '75.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '25.0%'}
Gestational trophoblastic neoplasm,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '91.0%'}
McLeod neuroacanthocytosis syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '88.0%'}
Schilder disease,{'Deletion': '9.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '85.0%'}
Enlarged parietal foramina,{'Deletion': '5.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Osteochondrosis of the metatarsal bone,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Pulmonary alveolar microlithiasis,{'Deletion': '43.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '56.99999999999999%'}
Osteochondrosis of the tarsal bone,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pulmonary nodular lymphoid hyperplasia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Primary hypomagnesemia with refractory seizures and intellectual disability,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Loeys-Dietz syndrome,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Rhombencephalosynapsis,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Argyria,{'Deletion': '6.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
Cirrhotic cardiomyopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Medial condensing osteitis of the clavicle,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
SUNCT syndrome,{'Deletion': '40.0%', 'Duplication': '60.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Furuncular myiasis due to Dermatobia hominis,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Furuncular myiasis due to Cordylobia anthropophaga,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Human prion disease,{'Deletion': '27.0%', 'Duplication': '27.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '44.0%'}
Cold agglutinin disease,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Sorsby pseudoinflammatory fundus dystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Laing early-onset distal myopathy,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Mazabraud syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
TNP03-related  limb-girdle muscular dystrophy D2,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
HNRNPDL-related  limb-girdle muscular dystrophy D3,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Craniopharyngioma,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Sarcocystosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hepatocellular adenoma,{'Deletion': '0.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '85.0%'}
Atelosteogenesis type II,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '87.0%'}
Atelosteogenesis type III,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '97.0%'}
Carcinoma of gallbladder and extrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Chondrosarcoma,{'Deletion': '53.0%', 'Duplication': '39.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '5.0%'}
Adamantinoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hypotrichosis simplex,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '97.0%'}
Craniosynostosis-microretrognathia-severe intellectual disability syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Infantile inflammatory bowel disease with neurological involvement,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Mucopolysaccharidosis,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
POMGNT2-related limb-girdle muscular dystrophy R24,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Calpain-3-related limb-girdle muscular dystrophy D4,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hypoxanthine guanine phosphoribosyltransferase partial deficiency,{'Deletion': '23.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '68.0%'}
Hemochromatosis type 2,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Galactokinase deficiency,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
CEBPE-associated autoinflammation-immunodeficiency-neutrophil dysfunction syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Crigler-Najjar syndrome type 1,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '82.0%'}
Crigler-Najjar syndrome type 2,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '82.0%'}
Peroxisome biogenesis disorder,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Combined oxidative phosphorylation defect type 39,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Triglyceride deposit cardiomyovasculopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Methotrexate toxicity,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
2-methylbutyryl-CoA dehydrogenase deficiency,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Seizures-intellectual disability due to hydroxylysinuria syndrome,{'Deletion': '10.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '79.0%'}
Hydroxykynureninuria,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
2-aminoadipic 2-oxoadipic aciduria,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
Idiopathic trachyonychia,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Disseminated superficial actinic porokeratosis,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Acrokeratosis verruciformis of Hopf,{'Deletion': '25.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '75.0%'}
Dermochondrocorneal dystrophy,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
Elastosis perforans serpiginosa,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial reactive perforating collagenosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dowling-Degos disease,{'Deletion': '8.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Creatine deficiency syndrome,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '90.0%'}
Disorder of bile acid synthesis,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Cerebral organic aciduria,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '92.0%'}
Isobutyryl-CoA dehydrogenase deficiency,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Developmental malformations-deafness-dystonia syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '17.0%', 'Single nucleotide': '83.0%'}
Eiken syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '97.0%'}
Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Mandibulofacial dysostosis-microcephaly syndrome,{'Deletion': '32.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '55.00000000000001%'}
Thyrotoxic periodic paralysis,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '95.0%'}
